Date:2017-12-03 12:16:40,482 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:17:52,761 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:17:52,881 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:17:53,267 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:17:53,388 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:18:26,895 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:18:58,131 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:18:58,184 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:18:58,650 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:18:58,701 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:21:13,744 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:21:13,850 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:21:14,249 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:21:14,369 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:22:10,407 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:22:10,537 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:22:10,909 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:22:11,044 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:25:23,983 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:25:24,014 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:25:24,497 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:25:24,523 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:25:32,673 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:25:32,730 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:25:33,202 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:25:33,236 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:25:34,670 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:25:34,718 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:25:35,178 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:25:35,234 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:26:00,856 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:26:00,926 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:26:01,375 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:26:01,433 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:33:11,668 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:33:13,195 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:33:13,248 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:33:13,803 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:34:27,667 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:34:27,716 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:34:28,173 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:34:28,223 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:34:59,743 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:35:00,264 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:35:03,665 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:35:15,820 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:35:15,860 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:35:16,320 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:35:16,370 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:35:29,322 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:35:29,832 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:35:33,965 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:35:34,011 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:35:34,466 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:35:34,514 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:35:47,315 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:35:49,412 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:35:51,093 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:35:54,548 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:35:55,063 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:35:57,017 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:35:57,058 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:35:57,519 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:35:57,558 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
